ID	Description	Type
2000	BGM subsystem has detected an error.	Interlock
2001	Validity of configuration has not been confirmed for the Beam Generation subsystem.	Interlock
2002	Beam Generation subsystem has not received the first sync pulse.	Interlock
2003	Beam Generation subsystem service pendant is active.	Interlock
2004	New file is downloading or has been downloaded to Beam Generation subsystem.	Interlock
2005	Beam generation system is not ready for operation.	Interlock
2006	No valid energy is loaded on the system.	Interlock
2018	Device is not ready; gating device ID: 0 is required.	Interlock
2019	Device is not ready; motion management device ID: 1 is required.	Interlock
2020	Device is not ready; gating device ID: 2 is required.	Interlock
2021	Device is not ready; gating device ID: 3  is required.	Interlock
2022	Device is not ready; gating device ID: 4 is required.	Interlock
2023	Device is not ready; gating device ID: 5 is required.	Interlock
2024	Device is not ready; gating device ID: 6 is required.	Interlock
2025	Device is not ready; gating device ID: 7 is required.	Interlock
2026	Device is not ready; gating device ID: 8 is required.	Interlock
2027	Device is not ready; gating device ID: 9 is required.	Interlock
2028	Device is not ready; gating device ID: 10 is required.	Interlock
2029	Device is not ready; gating device ID: 11 is required.	Interlock
2030	Device is not ready; gating device ID: 12 is required.	Interlock
2031	Device is not ready; gating device ID: 13 is required.	Interlock
2032	Device is not ready; gating device ID: 14 is required.	Interlock
2033	Device is not ready; gating device ID: 15 is required.	Interlock
2102	Customer Interface Standby Interlock is detected by the modulator.	Interlock
2200	Magnetron filament is warming up.	Interlock
2400	AFC Motor axis has not been initialized or in process of initializing.	Interlock
2401	Solid State Modulator assert a interlock preventing system from beaming on.	Interlock
2402	Solid State Modulator controller firmware is booting up (System state cannot be commanded out of Standby until this interlock is release.).	Interlock
2403	Y1 Blade has not been initialized.	Interlock
2404	Y2 Blade has not been initialized.	Interlock
2405	X1 Blade has not been initialized.	Interlock
2406	X2 Blade has not been initialized.	Interlock
2407	Filter Shape has not been initialized.	Interlock
2900	BGM started the very first time with an Embryonic Compact Flash Card.	Interlock
2950	FPGA Controller/Subcontroller flash is currently programming via mezzanine.	Interlock
2951	FPGA Controller/Subcontroller flash via mezzanine  is completed and reboot is required.	Interlock
2952	Node has failed to startup correctly. Interlocks are not being monitored.	Interlock
3000	Stand subsystem has detected an error.	Interlock
3001	Validity of configuration has not been confirmed for the Stand subsystem.	Interlock
3002	Stand subsystem has not received the first sync pulse.	Interlock
3003	Stand subsystem service pendant is active.	Interlock
3004	New file is downloading or has been downloaded to Stand subsystem. Wait for downloading to finish	Interlock
3006	Gantry axis calibration is in progress.	Interlock
3008	Treatment room door is open.	Interlock
3009	Cooling system is not ready.	Interlock
3012	Console controls are not ready.	Interlock
3014	Modulator screen is open.	Interlock
3015	CB1 (formally OL1PFN) power interlock; CB1 was tripped.	Interlock
3016	CB1 (formally S1PFN) on the Modulator power distribution has been opened.	Interlock
3017	Input Power is lost or instable.	Interlock
3019	Mains switch CB8 is open.	Interlock
3027	Emergency Off relays are open.	Interlock
3057	Gantry axis is not calibrated or position is out of range.	Interlock
3067	DKB is currently downloading firmware!	Interlock
3068	Beam calCheck tripped.	Interlock
3075	RIGHT_PENDANT: code download	Interlock
3077	Gantry calibration data acquisition in progress	Interlock
3101	One of the EMS Loop 1 is pressed.	Interlock
3102	An EMS buttons is pressed	Interlock
3103	Water tank temperature is low.	Interlock
3104	Water tank temperature is high.	Interlock
3105	Gantry not initialized.	Interlock
3106	Cover door is open.	Interlock
3107	Water tank warming up state.	Interlock
3108	An EMS button on the couch is pressed	Interlock
3109	EMS Loop 2 contol console is pressed	Interlock
3110	EMS Loop 2 on the left side of the stand is pressed.	Interlock
3111	EMS Loop 2 on the right side of the stand is pressed. 	Interlock
3112	EMS Loop 2 Relay Junction Box RJB is pressed  EMS on the RJB is pressed	Interlock
3113	Cover door 1 open.	Interlock
3114	Cover Door 2 open	Interlock
3115	Primary EMS Good open.	Interlock
3116	Secondary EMS Good open	Interlock
3117	Treatment door is open detected by STN application FPGA	Interlock
3118	The Stand EMO off relay is open	Interlock
3119	Waiting for start button to press.	Interlock
3120	Bore collision is detected at front row.	Interlock
3121	Bore collision is detected at rear row.	Interlock
3128	Bore collision has been detected	Interlock
3129	Treatment door is open detected by STN hardwired FPGA	Interlock
3130	Stand Power Board (SPB) Gantry Disable switch is active	Interlock
3131	Stand Power Board (SPB) Motor Power Supply (MPS) disable switch is active	Interlock
3132	Power Distribution Unit (PDU) phase monitor has been turned off	Interlock
3133	STN Controller FPGA has detected a beam on period (beam on time) which is longer than expected	Interlock
3134	STN Pendant is plugged in during clinical mode	Interlock
3135	Gantry did not pass verification during initialization	Interlock
3136	Stand EMO off relay is open	Interlock
3300	Gating Device 1: Plan mismatch	Interlock
3301	Gating Device 2: Plan mismatch	Interlock
3302	Gating Device 3: Plan mismatch	Interlock
3303	Gating Device 4: Plan mismatch	Interlock
3400	Gating Device 1: Gating device has detected an error.	Interlock
3410	Gating Device 2: Gating device has detected an error.	Interlock
3420	Gating Device 3: Gating device has detected an error.	Interlock
3430	Gating Device 4: Gating device has detected an error.	Interlock
3440	Device channel 5 has detected an error.	Interlock
3450	Device channel 6 has detected an error.	Interlock
3460	Gating Device 1: Not ready	Interlock
3461	Gating Device 2: Not ready	Interlock
3462	Gating Device 3: Not ready	Interlock
3463	Gating Device 4: Not ready	Interlock
3470	Device 1 has detected an error.	Interlock
3471	Device 2 has detected an error.	Interlock
3472	Device 3 has detected an error.	Interlock
3473	Device 4 has detected an error.	Interlock
3474	Device 5 has detected an error.	Interlock
3475	Device 6 has detected an error.	Interlock
3480	Device 1 has detected an error.	Interlock
3481	Device 2 has detected an error.	Interlock
3482	Device 3 has detected an error.	Interlock
3483	Device 4 has detected an error.	Interlock
3484	Device 5 has detected an error.	Interlock
3485	Device 6 has detected an error.	Interlock
3490	Device 1 has detected an error.	Interlock
3491	Device 2 has detected an error.	Interlock
3492	Device 3 has detected an error.	Interlock
3493	Device 4 has detected an error.	Interlock
3494	Device 5 has detected an error.	Interlock
3495	Device 6 has detected an error.	Interlock
3531	STN DKB: No CAN communication for more than 100ms. 	Interlock
3900	STN started the very first time with an Embryonic Compact Flash Card.	Interlock
3950	FPGA Controller/Subcontroller flash is currently programming via mezzanine.	Interlock
3951	FPGA Controller/Subcontroller flash via mezzanine is completed and reboot is required.	Interlock
3952	Node has failed to startup correctly. Interlocks are not being monitored.	Interlock
4000	Collimator subsystem has detected an error.	Interlock
4001	Validity of configuration has not been confirmed for the Beam Generation subsystem.	Interlock
4002	Collimator subsystem has not received the first sync pulse.	Interlock
4003	Beam Generation subsystem service pendant is active.	Interlock
4004	New file is downloading or has been downloaded to Imaging subsystem.	Interlock
4006	MLC is not initialized.	Interlock
4007	Collimator rotation is not initialized.	Interlock
4061	Collimator Rotation did not pass verification during calibration/initialization	Interlock
4200	MLC is in primary/secondary mismatch recovery state	Interlock
4900	COL started the very first time with an Embryonic Compact Flash Card.	Interlock
4950	FPGA  flash is currently being programmed.	Interlock
4951	FPGA  programming is completed and reboot is required	Interlock
4952	Node has failed to startup correctly. Interlocks are not being monitored.	Interlock
5000	Imaging subsystem has detected an error.	Interlock
5001	Validity of configuration has not been confirmed for the Imaging subsystem.	Interlock
5002	Imaging subsystem has not received the first sync pulse.	Interlock
5003	Imaging subsystem service pendant is active.	Interlock
5004	New file is downloading or has been downloaded to Imaging subsystem.	Interlock
5008	kV generator is not connected.	Interlock
5009	kV generator is powered off.	Interlock
5010	kV generator is warming up (power on time delay).	Interlock
5011	kV optical interface receptor is not initialized.	Interlock
5013	NDI camera is not providing tracking data	Interlock
5014	Primary RTX device is not providing tracking data	Interlock
5015	Secondary RTX device is not providing tracking data	Interlock
5016	Single camera is not providing tracking data	Interlock
5017	Test source is not providing tracking data	Interlock
5018	Dynamic module loaded	Interlock
5019	MV detector is not initialized	Interlock
5020	MV detector is not initialized	Interlock
5021	kV detector is not initialized	Interlock
5022	kV Generator is not securely mounted	Interlock
5023	DXIv3 firmware has not been checked yet	Interlock
5900	XI started the very first time with an Embryonic Compact Flash Card.	Interlock
7000	Upper Couch subsystem has detected an error.	Interlock
7001	Validity of configuration has not been confirmed for the Upper Couch subsystem.	Interlock
7002	Upper Couch subsystem has not received the first sync pulse.	Interlock
7003	Upper Couch subsystem service pendant is active.	Interlock
7004	New file is downloading or has been downloaded to Upper Couch subsystem.	Interlock
7012	Upper Couch lateral axis is not calibrated or position is out of clinical range. 	Interlock
7013	Upper Couch longitudinal axis is not calibrated or position is out of clinical range.	Interlock
7015	The Vertical axis is out of position or not calibrated.	Interlock
7877	A collision was detected at the foot end of the couch.	Interlock
7900	CCHU started the very first time with an Embryonic Compact Flash Card.	Interlock
7950	FPGA Controller/Subcontroller flash is currently programming via mezzanine.	Interlock
7951	FPGA Controller/Subcontroller flash is currently programming via mezzanine.	Interlock
7952	Node has failed to startup correctly. Interlocks are not being monitored.	Interlock
100000	SPV: The system asserted interlock {0} that stopped the treatment; see corresponding interlock for details. The interlock may be persistent or transient. If transient, it may disappear from the screen.	Fault
100001	SPV: Software task ID = {0} was unable to post event ID = {1} to message queue.	Fault
100002	SPV: the real-time operating system was not able to create a task.	Fault
100003	SPV: the real-time operating system was not able to create a message queue.	Fault
100005	SPV: The SPV BIOS setting may need reprogram; timer deviation count = {0}.	Fault
100006	SPV: Memory size of at least {0} MB is required, but only {1} MB was detected.	Fault
100007	SPV: flash card size of at least {0} MB is required, but only {1} MB was detected.	Fault
100008	SPV: Software tried to register a duplicated fault ID {0}.	Fault
100009	BSP (Board Support Package) version read from the real-time operating system kernel does not match that specified in the SPV default configuration file.	Fault
100010	The BIOS (Basic Input/Output System) version read from the real-time operating system kernel (which reads the BIOS version from the BIOS itself) does not match the ones specified in the SPV default configuration file.	Fault
100011	SPV: The maximum TCP server connection was exceeded.	Fault
100012	SPV: Timeout occurred in closing socket. 	Fault
100013	SPV: Software detected a null pointer.	Fault
100014	SPV: Software detected an unexpected parameter {0}.	Fault
100015	SPV: Software detected an unexpected return value {0}.	Fault
100016	SPV: Software detected an array index {0} is out of bounds. 	Fault
100017	SPV: Software detected an unexpected enumeration {0}.	Fault
100018	SPV: Software detected a general programming problem. 	Fault
100019	SPV: Software task ID {0} stack overflow; remaining byte {1}.	Fault
100020	SPV: Software task ID {0} suspended; eflags = {1}.	Fault
100021	SPV: At least one of the files on the flash card CRC does not match the expected CRC {0} in the configuration data tree; calculated = {1}. 	Fault
100022	SPV: Code running in memory CRC check mismatch: expected CRC = {0}, actual CRC = {1}. 	Fault
100023	SPV: Software is not able to allocate {0} bytes of memory.	Fault
100024	SPV: In-memory configuration data check CRC mismatch: expected CRC = {0}, calculated CRC = {1}.	Fault
100025	SPV: Software was not able to read config.xml file.	Fault
100026	SPV: Software was not able to read default.xml file.	Fault
